C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-2.027570356666416,-3.480563049805753,-3.5046798297144326,-3.70094148223121,-4.852080428547284,-4.499238893365352,-3.785585685578626,-4.415234764285634,-5.03823053044031,-3.9764758422893403,-4.406381186596868,-6.164848468876848,-4.427716086141657,-5.5769653360703,-3.9977156101885196,-4.136690211747879,-4.42266006015586,-5.554995018089374,-5.284126836361523,-5.9608862197141175,-6.030724809792672,-5.315048451580285,139
-2.028192852383686,-3.4816647981020674,-3.517523553112211,-3.702167284730411,-4.8416784798845605,-4.509448180915475,-3.8038025160583,-4.459947399729071,-5.066156562275035,-3.991003678093808,-4.474678544428311,-6.158532348814395,-4.362338149604246,-5.562247403286669,-4.051316656414985,-4.140657837715457,-4.467469373205068,-5.663098972154558,-5.277715115712242,-5.909699205564257,-6.03924940163553,-5.290843400076005,140
-2.0291794896328215,-3.4844709887150045,-3.531183857690673,-3.688112407090666,-4.792837208394962,-4.483450280359566,-3.83363258036119,-4.50201465922555,-5.097211398977682,-4.0017531315814505,-4.550447075045079,-6.125291375481496,-4.342593572445529,-5.491549122044887,-4.120232172336585,-4.159173588779617,-4.530296244370181,-5.756966882166675,-5.220760972591632,-5.831419249356139,-6.03467091025662,-5.3060997756338715,141
-2.0307965458982435,-3.488373291540467,-3.545054207744676,-3.6595226447290337,-4.7055738627218595,-4.419457434497717,-3.8754487936342628,-4.541765093187254,-5.12818707227906,-4.0093558974133865,-4.642921569863329,-6.061870550128734,-4.3542706199487196,-5.36514249038272,-4.208941193975279,-4.189654547157613,-4.615242623179969,-5.855909629991434,-5.110900996538207,-5.722978112047528,-6.022243576513862,-5.354306388245121,142
-2.0327917867913325,-3.492844390712395,-3.5592906608980077,-3.6201024994278037,-4.5889895040853865,-4.32840578066444,-3.9259415843509466,-4.580400855183963,-5.15969154542639,-4.014224791352458,-4.748855069356262,-5.976524144836497,-4.392631507196695,-5.195877641684793,-4.311088307776409,-4.2290714954808495,-4.71493334940108,-5.955556960336138,-4.96300514936743,-5.591590157094283,-6.003929610998219,-5.427141824634125,143
-2.0349129779234687,-3.497356970364731,-3.5740492747744574,-3.573556472969268,-4.452185193705679,-4.2212314561942526,-3.9818013809846735,-4.619124098785454,-5.192332781666893,-4.016772629161506,-4.865000613997084,-5.877506431685174,-4.452938449272337,-4.996604709335734,-4.420318100185317,-4.274395216380737,-4.821993262800159,-6.051538617908104,-4.7919433928947734,-5.444469747952272,-5.981691224300654,-5.516284671525261,144
-2.036907884906032,-3.5013837146314137,-3.5894861069978115,-3.523589067135717,-4.30426199280287,-4.108870598421668,-4.039718612008871,-4.659136977561505,-5.22671874424779,-4.017412226603373,-4.988111244258993,-5.773071682755151,-4.5304536612585204,-4.780173826720164,-4.530275157647345,-4.322596492488681,-4.929047203143852,-6.1394843474146334,-4.612585688935703,-5.288831248077356,-5.9574906270121275,-5.6134135156429,145
-2.038524273350402,-3.504397307646385,-3.605757215191859,-3.4739047837094397,-4.154320962597092,-4.0022593446812,-4.096383705896968,-4.701641645081896,-5.2634573964163,-4.0165563994408995,-5.114940000615197,-5.671474170126816,-4.6204393582381265,-4.559435127222709,-4.634604066607835,-4.370646106436091,-5.028720010198807,-6.215023893563036,-4.439801999305686,-5.131889020925396,-5.933290029723599,-5.7102069437114205,146
-2.0395099088679594,-3.5058704335435844,-3.623018656980387,-3.4282081244727287,-4.011463164308486,-3.912333832307366,-4.148487091122394,-4.747840254916403,-5.303156701419645,-4.014617963436928,-5.242239923538892,-5.58096816588056,-4.718157755294032,-4.347238744228002,-4.726949413512127,-4.415514840854372,-5.113636523731666,-6.273787001060619,-4.288462285820196,-4.9808574299522625,-5.911051643026034,-5.79834354245519,147
-2.0396125570700825,-3.505275776456955,-3.6414264899871838,-3.3902035912078734,-3.8847896591571836,-3.850030198634681,-4.192719196158579,-4.798934960634804,-5.346424622505044,-4.012009734354301,-5.366764053503283,-5.50980794209677,-4.818871067509116,-4.156434811120664,-4.800955784805564,-4.454173478374933,-5.176421583509078,-6.31140341461469,-4.173436510294696,-4.842950838613814,-5.892737677510391,-5.869501898598588,148
-2.0385799835681535,-3.502086020520435,-3.6611367718360373,-3.363595685697165,-3.7834015083633195,-3.8262845809976582,-4.22577044947895,-4.856127915806877,-5.393869122919718,-4.009144527955859,-5.485265430981571,-5.4662477708558335,-4.917841509966258,-3.999873461285322,-4.850267766933486,-4.483592801629183,-5.2097000292976885,-6.323502878932556,-4.109594634544657,-4.725383610365916,-5.880310343767635,-5.915360598865984,149
