C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-0.23768731556247183,-2.891610507746909,-3.3377461056093756,-3.1164646699367142,-3.12394455935524,-3.070312237231711,-3.3675496842471246,-3.3360046940224364,-3.273378585686195,-3.4428545435368467,-3.686762458657576,-4.1986434856186925,-4.6558437439440965,-4.404398760108843,-4.507903279113143,-4.541393564707824,-4.954790649858116,-6.386653831836251,132
-0.23160804068423027,-2.8870591556425036,-3.212335696664128,-3.125436792630192,-3.1259851338140274,-3.0808106349479494,-3.371061809682078,-3.3391048857408077,-3.2781988529894712,-3.452596050176722,-3.70524313333856,-4.219843892676937,-4.664953647475609,-4.4186931392145175,-4.531054632670938,-4.556721914815914,-4.968208188462762,-6.241642277211497,133
-0.2242260640463656,-2.881532513801441,-3.060051628659186,-3.136331513043701,-3.1284629742282704,-3.0935586893176685,-3.3753265334245217,-3.3428694042559735,-3.284052034714879,-3.4644250225251434,-3.7276839525940413,-4.245587244104805,-4.676015673192447,-4.436050599557123,-4.559166990562548,-4.575334911375739,-4.984500913911263,-6.065556818024298,134
-0.2161927365286893,-2.8755182270920487,-2.8943307311243958,-3.148187532317225,-3.13115944762024,-3.107431572014127,-3.37996755632071,-3.3469660861695356,-3.290421673651351,-3.4772977277278363,-3.7521048441367704,-4.273602067717485,-4.688053760001947,-4.454939600518193,-4.589759850621063,-4.59559023116143,-5.002231232781689,-5.873934406555874,135
-0.20815940901101287,-2.8695039403826565,-2.7286098335896023,-3.1600435515907495,-3.1338559210122097,-3.1213044547105855,-3.384608579216899,-3.3510627680830978,-3.2967913125878234,-3.4901704329305296,-3.7765257356795,-4.301616891330165,-4.700091846811447,-4.473828601479264,-4.62035271067958,-4.615845550947122,-5.019961551652116,-5.6823119950874474,136
-0.2007774323731482,-2.8639772985415934,-2.5763257655846603,-3.1709382720042587,-3.136333761426452,-3.1340525090803046,-3.3888733029593427,-3.3548272865982636,-3.3026444943132307,-3.50199940527895,-3.7989665549349807,-4.327360242758035,-4.711153872528285,-4.491186061821868,-4.648465068571189,-4.634458547506947,-5.036254277100616,-5.506226535900248,137
-0.1946981574949067,-2.8594259464371885,-2.4509153566394137,-3.1799103946977363,-3.1383743358852403,-3.1445509067965434,-3.392385428394296,-3.3579274783166344,-3.307464761616507,-3.511740911918826,-3.8174472296159654,-4.348560649816278,-4.720263776059797,-4.505480440927543,-4.6716164221289835,-4.649786897615037,-5.049671815705263,-5.361214981275494,138
-0.1905729352561,-2.8563375289377713,-2.365815436283711,-3.185998620811168,-3.1397590114108462,-3.1516748195325626,-3.394768656368015,-3.3600311798398153,-3.3107356572865876,-3.5183512199958846,-3.829987687435205,-4.362946640320087,-4.726445496313325,-4.515180198177823,-4.687326269186059,-4.660188278045527,-5.058776574044131,-5.2628142834944125,139
-0.1890531165365396,-2.85519969091167,-2.3344628340473994,-3.1882416514845375,-3.140269155025543,-3.1542994189616222,-3.395646687726753,-3.360806227769408,-3.311940724112407,-3.5207865966558534,-3.8346078561054506,-4.368246742084648,-4.728722972196203,-4.518753792954241,-4.693114107575508,-4.66402036557255,-5.062130958695293,-5.226561394838225,140
-0.1873783971166725,-2.856213804320545,-2.3365669539327194,-3.1889367779902105,-3.145095193357415,-3.157390901104934,-3.3976944938532427,-3.3630572852614686,-3.313782189700304,-3.5274419220041695,-3.8394789485887304,-4.371757642178664,-4.734968888635043,-4.525178617198266,-4.69921594301465,-4.664638318414682,-5.0725426513620135,-5.224102605550221,141
